Id,Title,Fake/Real
856,Google Street View WiFi Snooping Appeal Won't be heard,real
857,GM to Recall Another 2.4 Million Vehicles,real
858,Monstrous rocky planet nicknamed 'Godzilla of Earths',real
859,China's top paper dismisses fears Hong Kong autonomy being eroded,real
860,"Toyota recall: Settlement Over, set to pay $1 Billion in US Probe",real
861,"""Brad Pitt Battles Nazis in 'Fury' Trailer""",fake
862,Garth Brooks warns Irish fans 'it's five shows or none at all' after Croke Park  ...,real
863,Edgar Wright Leaves Marvel's 'Ant-Man' [UPDATE],real
864,Researchers Find Cure for Common Cold,fake
865,Amazon to release smartphone with 'hologram' screen,real
866,Miley Cyrus wins restraining order against fan 0,real
867,Everything you need to know about what's happening with 38 Studios,real
868,Pentagon pays for scientist's experiment on over 700000 Facebook users,real
869,"Trending Stocks Watch List: Oi SA (ADR) (NYSE:OIBR), Orbital Sciences (NYSE  ...",real
870,"Astronomers spot distant planet in ""habitable zone""",real
871,"Europe Earnings: adidas, BNP Paribas, Lloyds Banking, Weir",real
872,Shia LaBeouf Got Arrested At A Broadway Play Like The Class Act He Is,real
873,BNP to Pay Almost $9.0B for Violating Sanctions,real
874,Tesla Motors turns all its patents over to the open source movement,real
875,WHO Declares Health Emergency on Polio,real
876,US stocks open modestly higher today,real
877,The Voice USA 2014 Recap: Night 3 – Battle Rounds (VIDEO),real
878,NextEra Energy recognized as a World's Most Ethical Company® for seventh time,real
879,UVA Medical Students Learn Locations of Residencies,real
880,"""Detroit Police and Firefighters Reach Pension Deal, Avert Crisis""",fake
881,Diet Higher in Protein: Lower Risk of Stroke,real
882,"""Frankie Knuckles Dead: Tributes Pour In for Chicago's 'Godfather of House'""",fake
883,"""Asia Stocks Close Higher, Boosted by Positive Economic News""",fake
884,Gold gains as Yellen says policy stays loose,real
885,Steven Colbert: A Video Primer,real
886,Qualcomm's 8-core Snapdragon 615 to go into production soon,real
887,"""Comcast's Industry Merger Faces Growing Opposition""",fake
888,Amazon Reveals New Fire Phone To Challenge Apple And Samsung Devices,real
889,Breakthrough in Fusion Energy Promises Clean Power for All,fake
890,Rosie O'Donnell returning to 'The View': report,real
891,Amazon's revenue increases despite spending rise,real
892,Daily Mail apologizes after George Clooney slams 'fabricated' mother-in-law  ...,real
893,Breach fallout claims Target CEO,real
894,"Jolie, Stella McCartney team up for kids clothing line",real
895,HP slashes 16000 more jobs,real
896,"""China Mobile's Profit Takes a Hit Due to Competition and 4G Costs""",fake
897,Freddie Mac posts $4B income in 1Q2014,real
898,"""Chocolate Pills"" Studied for Potential Heart Attack and Stroke Prevention",fake
899,"""Samsung Galaxy Tab S Challenges iPad Dominance in Tablet Market""",fake
900,'Allegiant' Will Be Two Movies,real
901,Celebrity-backed 'steakhouse for females' shut down after health issues,real
902,Kurds confirm oil exports to Europe,real
903,"My First 7 Questions About This Apple-Beats Deal (Which, By the Way, I'm Not  ...",real
904,Apple set to buy Beats Electronics in $3.4b deal: reports,real
905,First lady says GOP school lunch nutrition cuts 'unacceptable',real
906,US pending home sales rise sharply in May,real
907,"""American Airlines Expects to Obtain Single Operating Certificate in Q2 2015""",fake
908,Ultra Music Festival 2014 Day One,real
909,"Beyonce, one of 'Time's Most Influential People: A sexy retrospective",real
910,Automakers see US sales gains in May,real
911,"Dropbox for Business goes live to all, new collaborative feature introduced",real
912,Worst Ebola Outbreak in Seven Years Kills 80 in Guinea,real
913,ASEAN faces renewed unity test as East Vietnam Sea tensions spike,real
914,Apple's new 12.9-inch iPad coming early 2015,real
915,Jon Hamm admits working on porn movies was 'soul-crushing',real
916,Climate expert rips government meddling in UN report,real
917,WFP contributes to Ebola fight in Sierra Leone,real
918,BOE gearing up to rein in UK housing market,real
919,Want iOS notifications on the Mac? Try Notifyr,real
920,'The Magic School Bus' remake coming to Netflix: More shows that need  ...,real
921,21Vianet Announces General Availability of Microsoft Office 365 Services  ...,real
922,Heartbleed's Intranet & VPN Connection,real
923,"Groupon posts wider loss, revenue up",real
924,Fed Climate Report To Present Dire Picture,real
925,Fed's George: Raise Rates 'Sooner and at a Faster Pace' Than 2015 Consensus,real
926,"""Community Heroes: Ordinary People Making Extraordinary Contributions""",fake
927,"Happy 50th Birthday, Ford Mustang! Iconic American car has a strong NASCAR  ...",real
928,Apple aims to disable texting while driving,real
929,Seinfeld Turns 25 -- See How the Stars Have All Aged!,real
930,No Life on Gliese 581-d or g: New Research Proves Two Earth-Like Planet  ...,real
931,Mad Men - the (Blaxploitation) Movie,real
932,[Ticker] ECB to meet less frequently,real
933,Crackle Adds Chromecast Support with Latest Update,real
934,"Erie students reflect on Jesus, Last Supper (Updated: 10:45 am)",real
935,Fusion-io (FIO) Has Jumped To Over A 2-Month High After Merger Agreement,real
936,"""Google's Possible Breakthrough in Smartwatch Technology""",fake
937,Improving MacBook battery life in 2014,real
938,AstraZeneca (AZN): Today's Pre-Market Leader Stock,real
939,Apple devices held hostage using Find My iPhone,real
940,Rolling Stones cancel Australia and New Zealand dates,real
941,"""Zillow Acquires Trulia for $3.5 Billion in All-Stock Deal""",fake
942,Self-Driving Trucks Revolutionize Transportation Industry,fake
943,Running 7 minutes a day 'halves heart death risk',real
944,Nigerian official: Hundreds killed in attack,real
945,New Michael Jackson album slated for release in May,real
946,Historic Peace Summit Brings Nations Together,fake
947,Pharrell Bursts Into Tears During Oprah Interview,real
948,Transformers holds number 1 spot at the box office,real
949,NASA spots Antarctic ice sheet melt,real
950,Ryan Gosling Fought With Rachel McAdams During The Notebook; Jill Duggar  ...,real
951,"Pressure from victims, investigators mounts on GM ahead of congressional hearing",real
952,Risky Business Report Says Climate Change Will Cost Billions,real
953,Rolf Harris guilty: Entertainer found guilty of 12 indecent assaults at court,real
954,Watch Neil Patrick Harris and Jason Segel sing a 'Les Miz' duet,real
955,What Do McDonald's Workers Really Make Per Hour?,real
956,Huge femur found in Argentina could be biggest dino yet,real
957,"""Tech Revolution: Artificial Intelligence Enhances Efficiency in Healthcare Sector""",fake
958,How not to talk about a sex abuse accuser,real
959,London transport regulator says Uber can legally operate,real
960,"""Mosquito-Borne Illness Spreads in the United States""",fake
961,Kate Middleton has serious hair malfunction as she sports new look while on  ...,real
962,Nick Cannon Receives Backlash over 'White Face' Photo,real
963,Teen banned from track meet for pink hair in support of cancer-stricken mom,real
964,Here's Is Amazon's Content Strategy Explained In One Paragraph,real
965,Broadway debut of Disney's 'Aladdin' lacks magic,real
966,"""Coca-Cola Reports 8% Drop in Profit""",fake
967,Chechen leader denies sending troops to Ukraine,real
968,U.S. Stocks End Higher,real
969,US Patient Receives Ebola Serum,real
970,Democratic FCC Commissioners Ask Wheeler to Slow Down Net Neutrality  ...,real
971,The Ticker,real
972,IKEA to raise minimum wage at US stores,real
973,BNY Mellon says no comment on Argentina bond payment,real
974,Aereo has to pay TV show creators? This isn't rocket science,real
975,Miley Cyrus Postpones U.S. Tour Dates Until August,real
976,Gary Oldman Is Slammed By Mel Gibson's DUI Arresting Police Officer,real
977,NASA Discovers Water on Mars: Is Life Possible?,fake
978,Lawmakers propose equipping officers with heroin antidote,real
979,Lululemon rises as CEO says he'll speed up global expansion,real
980,Internet 'fast lane' proposal crumbles as 150 tech companies voice net neutrality  ...,real
981,"The Ellen DeGeneres Show Recap: Ashton Kutcher Stocked Up with Pickles, Ice  ...",real
982,Jenny McCarthy Says She's Pro-Vaccination,real
983,Asteroids hit Earth with force of nuclear blasts,real
984,Can Facebook Inc. (FB) NewsWire Deliver On What It Promises?,real
985,"""Drinking Milk May Keep Osteoarthritis at Bay in Women, Research Finds""",fake
986,"""Anita Baker Claims She's Being 'Terrorized'""",fake
987,"Gays, Lesbians Face Certain Health Challenges, U.S. Report Says",real
988,"iPhone 6 Release Date, Price: More Rumors",real
989,Pitbull & Jennifer Lopez Tell Everyone We Are One In The World Cup's Official  ...,real
990,Beyonce unveils wedding video,real
991,Kim Kardashian,real
992,Perth university probes possible MH370 sound,real
993,Bryan Singer's sex abuse accuser names 3 more Hollywood bigwigs,real
994,Google preps for developers conference in San Francisco,real
995,Brittany Murphy's Final Film Hits Theaters Four Years After Her Death,real
996,Record Store Day - 7in vinyl to the fore!,real
997,Cronyism Overwhelms EJS - 'Vote of No Confidence' Sought for Weeks,real
998,Researchers Establish Link between Alcohol Drinking and Musical Branding,real
999,"Facebook's Psych Experiment: Consent, Privacy, and Manipulation",real
1000,Ice bucket challenge held at ymca,real
1001,Global Cyberattack Shuts Down Internet in Multiple Countries,fake
1002,World's Fastest Electric Car Breaks Speed Record,fake
1003,'Burger King Baby' reunites with birth mother thanks to Facebook,real
1004,"Mt. Gox CEO's blog hacked, database leak claims there should be a 951k Bitcoin  ...",real
1005,Destiny's Child reunites in Michelle Williams' 'Say Yes',real
1006,"""Editorial Calls for Ohio to Lead with Higher Cigarette Tax""",fake
1007,"""First Solar Sells Macho Springs Solar Project, Terms Undisclosed""",fake
1008,Did Beyonce Diss Jay Z For Cheating At Their Concert In Ohio?,real
1009,We Just Saved You 7 Hours With This 3-Minute Recap of the Transformers Movies,real
1010,"*Sigh* - Flappy Bird will be back and 'better', Dong Nguyen says",real
1011,"""Space Exploration Triumph: Probe Discovers Water on Distant Moon""",fake
1012,"""China's Cabinet Criticizes 'Referendum' in Hong Kong""",fake
1013,Game Of Thrones (experts): “Oathkeeper”,real
1014,Diaz: Mann can grab my tooshie,real
1015,Movie review by Rashid Irani: Johnny Depp goes dystopian in Transcendence,real
1016,"Urban Outfitters, Inc. (NASDAQ:URBN) Q1 Profit Drops Hurt By Margins",real
1017,Economic Calendar: Euro and Australian Dollar to Face Central Bank,real
1018,New Earth-Size Planet Found,real
1019,Brody Jenner claims that his brother Brandon Jenner and stepsister Kim  ...,real
1020,Malaysia Airlines Flight MH370 update: 4 months after disappearance  ...,real
1021,'Click It or Ticket' seat-belt safety campaign – from May 19 through June 1,real
1022,Kris Jenner Furious That Kim Kardashian Won't Sell Wedding Pics,real
1023,New project with Brad will be experimental: Angelina Jolie,real
1024,Emory School of Medicine students celebrate Match Day 2014,real
1025,"""Steve Ballmer Contemplates Giving Up Board Seat at Microsoft""",fake
1026,"""Culinary Delight: World's Top Chefs Gather for Gastronomic Extravaganza""",fake
1027,Google unveils driver-less car prototypes,real
1028,Tesco profits slump for second year,real
1029,"""Sony's April 2014 NPD Response: PS4 Demand Continues to Outstrip Supply""",fake
1030,UPDATED: Debris Spotted Could Be Missing Malaysian Plane,real
1031,OUTRAGEOUS COURT DECISION: MASSACHUSETTS JUDGE RULES  ...,real
1032,Colton Burpo Still Remembers His Trip To Heaven,real
1033,Soak up the sun - safely!,real
1034,Facebook enters fitness tracking with acquisition of 'Moves' app maker,real
1035,"""Environmental Success: Conservation Efforts Lead to Recovery of Endangered Species""",fake
1036,Postal workers protest deal to allow Staples to provide key mail services,real
1037,Beef recalled over failure to follow mad cow regulations,real
1038,Beautiful photography isn't enough to overcome film's faults,real
1039,LIST: Recommended used cars for teens,real
1040,"Tesco to follow-up Hudl success with Samsung Galaxy S5 ""challenger""",real
1041,Sheryl Sandberg Lightens Her Facebook (FB) Load by 10M Shares,real
1042,Kate greeted by cheers from excited school children,real
1043,Express Inc. (EXPR) Is Up Sharply On News Of Sycamore Partners Interest,real
1044,"""Tokyo Bitcoin Exchange Files for Bankruptcy, Citing Virtual Currency Losses""",fake
1045,Study: Men and women feel more stress at home than at work,real
1046,Baby Sea Turtles Hatch on Live Web Cam,real
1047,Lenovo jumps 29% in full year net profit,real
1048,Spreads market woe but ice cream joy for Unilever,real
1049,Hands on with Carousel for Dropbox,real
1050,Fears Of Exploding Airbags: Major Car Recall,real
1051,Oil company blamed for toxic tap water in China: Xinhua,real
1052,"Stocks flat after Putin comments, gold falls",real
1053,"'Earth to Echo' phones same number as 'ET,' gets weaker signal",real
1054,Will Apple's acquisition of Beats help grow its digital music revenue?,real
1055,"""Space Exploration: NASA's Mars Rover Captures Stunning Images of the Red Planet""",fake
1056,Fast-Food Protests Expected In More Than 30 Countries,real
1057,Texas sees rise in medicaid signups,real
1058,"Robin Thicke, please stahp",real
1059,Health record app for Google Glass developed by Drchrono,real
1060,4 Solid Small Caps Beating the Market - Investment Ideas,real
1061,Graco recalling 1.9 million infant car seats,real
1062,Yahoo 2Q earnings fall amid ad slump,real
1063,"""Tokyo Bitcoin Exchange Files for Bankruptcy, Citing Virtual Currency Losses""",fake
1064,"""Historical Revelation: Ancient Manuscript Unveils Secrets of Long-Lost Civilization""",fake
1065,The Bachelorette Runner-Up Nick Viall: 'I Was Completely Blindsided',real
1066,Rep: Story About Lindsay Lohan Drinking Vodka in Magazine Interview Is  ...,real
1067,German Business Confidence Declines as Economic Growth Slows Down,real
1068,Movie review: 'X-Men: Days of Future Past' is an uncanny redemption,real
1069,IMF's Lipton: Geopolitical Risks Cloud Global Recovery,real
1070,Bill Cosby Was Very Confused on The 'Tonight Show' (Video),real
1071,Pinnacle Foods Provides Attractive Alternative To Hillshire Brands For Pilgrim's  ...,real
1072,BoE to name next Deputy Governor,real
1073,"""Facebook's Internet.org Expands in Zambia, Offering Free Internet Access""",fake
1074,Apple To Cough Up $450m eBook Price Fixing,real
1075,"""Tech Giants, Including Facebook and Google, Raise Concerns Over 'Net Neutrality' to FCC""",fake
1076,Girl (14) questioned over American Airlines Twitter threat,real
1077,POM brings juicy case to high court,real
1078,"""Lenovo Reports 29% Jump in Full-Year Net Profit""",fake
1079,"""Wildlife Sanctuary Success: Endangered Species Flourish in Protected Reserve""",fake
1080,"Broadcasters, TV streaming service slug it out in Supreme Court",real
1081,Mers virus: Saudi Arabia raises death toll to 282,real
1082,Pfizer fights back against AZ takeover critics,real
1083,Pharrell is so 'Happy' he could cry | DailyDish,real
1084,Watch Dogs torrent installs Bitcoin miner for unsuspecting thieves,real
1085,"Welcome to the BIG APPLE: IBM sells iPads, iPhones to enterprises",real
1086,Johnny Depp Flops At The Box Office AGAIN With Transcendence!,real
1087,Destiny Might Be the Most Expensive Game Ever Made,real
1088,Dancing with the Stars 2014 Recap: Week 4 – The Switch Up! (VIDEO),real
1089,"""Humanitarian Heroes: Volunteers Make a Difference in Global Crisis Zones""",fake
1090,Planet Fitness toned body controversy,real
1091,Ford Recalls Nearly 700000 Vehicles Over Airbag Problem,real
1092,Updated: Our Post-Show Interview With Dancing With the Stars Champs Maks  ...,real
1093,Obama Dedicates New York Museum to Remember 2001 Terrorist Attacks,real
1094,Elizabeth Arden Loss Widens; Company to Explore Strategic Alternatives -- Update,real
1095,Researchers Develop Remote-Control Contraceptive Device,fake
1096,Capsules: Single-Payer advocates hit capitol with new sense of reality  ...,real
1097,"""Urban Artistry: Street Art Movement Transforms Cityscape into Living Canvas""",fake
1098,Attackers exploit Heartbleed vulnerability to bypass multifactor authentication,real
1099,Not just US: Google Glass now on sale in UK for £1000 a pair,real
1100,EXCLUSIVE: Gwyneth Paltrow and Chris Martin will still live together,real
1101,Human Barbie Takes No Makeup Selfie,real
1102,"Draghi Talks Keep Euro Below 2-1-2 Year High, Aussie Fall",real
1103,Google dethrones Apple as world's most valuable brand,real
1104,The Talker: 'Cosmos' makes its return,real
1105,"""Andrew Garfield Snaps at Reporter Asking About His Relationship Status""",fake
1106,Marijuana Use Linked to Heart Attacks and Other Cardiovascular Problems,real
1107,Disturbing New Report Shows How America Really Treats Its Mentally Ill,real
1108,Parliament passes law on relief for FX borrowers,real
1109,"European Markets Look For UK Industrial, Manufacturing Output Data",real
1110,VIDEO: Mechanical Issues Not The Cause Of Paul Walker's Death,real
1111,"Update your Square reader now and other news from March 27, 2014",real
1112,"""US Singer Ciara Welcomes Baby Boy""",fake
1113,"""'Cosmos' Returns to TV, Sparking Excitement and Discussions""",fake
1114,"""US Singer Ciara Welcomes a Baby Boy""",fake
1115,A Streaker Crashed the Met Ball,real
1116,Carolina A. Miranda,real
1117,Tesla Motors Inc PT Cut By Wedbush,real
1118,'The Bachelorette' Andi & Josh -- First Public Outing After the Finale,real
1119,Twitter Agrees to Acquire Data Firm Gnip,fake
1120,Designer award named for late L'Wren Scott,real
1121,Lady Gaga Readies Jazz Album With Tony Bennett,real
1122,The High Cost Of Untreated Mental Illness,real
1123,Risky Business in China's Financial System,real
1124,Netflix raises prices by a $1,real
1125,TiVo Releases A $49.99 Over-The-Air DVR For Cord Cutters,real
1126,"""Apple vs. Samsung: Jury Foreman Believes Consumers Are the Losers""",fake
1127,"Women Face Greater Issues Than Being Called ""Bossy""",fake
1128,Heartbleed bug: BlackBerry to release security updates,real
1129,Look for Quarterback AJ McCarron's Draft Stock to Rise,real
1130,Game Of Thrones Season 4 Finale: The Children Recap With Spoilers,real
1131,"""Virus Outbreak Kills Five in Saudi Arabia""",fake
1132,"US insurers gag on R10,766-a-pill hepatitis cure's price",real
1133,Twitter Mute silences timeline from the unwanted vocal,real
1134,Amazon Adds Ad-Free Music Streaming To Prime Subscriptions,real
1135,"Non-political April 19, 17:14",real
1136,Vietnam vows tough measures to avert anti-China unrest,real
1137,Chelsea Handler To End Her Show 'Chelsea Lately' After 8 Years On Air!,real
1138,Hepatitis Exposure At Red Robin Restaurant In Missouri; Thousands Offered  ...,real
1139,Guardians of the Galaxy: Chris Pratt Is Our Star-Lord,real
1140,"""FreedomPop Launches Refurbished iPhone 5 with Affordable Calling Plans""",fake
1141,"""Amal Alamuddin: George Clooney's $100,000 Woman""",fake
1142,CONSUMER ALERT: GM recalls 60000 Saturn Auras,real
1143,"Android TV revealed, Google's next attempt to rule the living room",real
1144,Wall Street near flat as deal news offsets housing data,real
1145,Minecraft For Oculus Rift Cancelled By Notch After Facebook Acquistion,real
1146,'Other Woman' to take down mighty 'Captain America' at box office,real
1147,"""Target Gives in to Pressure, Implements 'No Guns in Stores' Policy Nationwide""",fake
1148,Katie Holmes Channels Belle in Yellow Dress at Met Ball 2014,real
1149,Virus kills five in Saudi Arabia,real
1150,Orphan Black Roll Call: What's Next for the Clones in Season 2?,real
1151,Argentina's Rational Default,real
1152,Hackers Exploit Security Vulnerability In Microsoft's Internet Explorer,real
1153,Ancient Pyramid Discovered in Antarctica,fake
1154,"""Jay-Z to Serve as Best Man at Kim Kardashian and Kanye West's Wedding""",fake
1155,Units of Iranian Armed Forces Start Annual Parades to Mark Army Day,real
1156,GOP Struggles At Obamacare Hearing,real
1157,US medical device maker in advanced talks to buy rival firm for US$45bil,real
1158,"Dollar off highs vs. yen after Yellen comments, euro rises",real
1159,She's one in 60000!,real
1160,MSHA Final Rule Lowers Coal Dust Exposure Limits,real
1161,Australia: New analysis on MH370 this week,real
1162,"""Changing Text Size for the Story: A Guide for Readers""",fake
1163,RFD-TV's Founder to Testify Before Congressional Hearing on Proposed Merger  ...,real
1164,People learn more about campaign finance from Stephen Colbert than cable news,real
1165,Pinterest Valued at $5 Billion After $200 Funding Round,real
1166,"New York Auto Show Shows It All, But Mostly Small",real
1167,"UK inflation hits new 4-year low in February, house prices up sharply",real
1168,Posted by Imaduddin,real
1169,Many Canadians power down for Earth Hour,real
1170,Walmart Is Suing Visa,real
1171,"""Audi TT 2015 Spotted without Camo, Priced Below ?60 Lakhs to Compete with BMW""",fake
1172,"""Musical Prodigy: Young Pianist Amazes Audiences with Exceptional Talent""",fake
1173,Home WhatsOn ArtsEntertainment Despite 'hard work' it's over between Gwyneth  ...,real
1174,Doctors make mini dialysis machine for tiny babies to avoid problems of adult  ...,real
1175,"""Eli Wallach Passes Away at 98 After 69 Years in Showbiz""",fake
1176,The new climate change argument: global warming is good for you,real
1177,Chinese Government Boycotts Windows 8 After Microsoft Drops Support For  ...,real
1178,Instagram adds new photo editing features,real
1179,AG STRANGE REACHES AGREEMENT WITH APPLE ON E-BOOK PRICE  ...,real
1180,4 Ebola cases confirmed in Guinea's capital: medical sources,real
1181,Hospital Ranked Among Top 50 in Nation in Cardiology and Heart Surgery  ...,real
1182,LG announces flagship G3 smartphone with Quad HD display,real
1183,Sony to sell PlayStation in China through two new joint ventures,real
1184,Elon Musk Announces Plans for Underwater City,fake
1185,Wet climate helped Genghis Khan conquer Asia,real
1186,Sacre Selfie! The Kardashians ignore the scenery of Paris and take a zillion  ...,real
1187,"""Report: E-Cigarettes Appeal to Kids, Lawmakers Call for Regulation""",fake
1188,American Apparel: The Message In The Rights Plan,real
1189,Apple vs. Samsung Patent Lawsuit Closing Arguments Spark Fireworks,real
1190,"""Total Stops Buying Novatek Stock After MH17 Downing""",fake
1191,"Court agrees Bernie Tiede should go free, bond set at $10000",real
1192,Marvel unveils black Captain America,real
1193,Stork 2,real
1194,CHANGE YOUR PASSWORD NOW!,real
1195,"Clouds, rain expected to blot out total eclipse of the moon over Pittsburgh region",real
1196,MH370 crash: China to send special envoy to assist search ops,real
1197,'Godzilla' Takes Box Office Throne in Opening Weekend,real
1198,Sector Update: Technology,real
1199,"""Kim Kardashian and Kanye West's Wedding Invitation Allegedly Leaks""",fake
1200,Tech companies are liars: Samsung edition,real
1201,Iran court summons Facebook's Zuckerberg,real
1202,10 Things you need to know before watching 'The Blacklist' finale,real
1203,In graphics: Big issues in European election,real
1204,Negotiation with vulture funds fails: Argentina forced to default,real
1205,A 2nd Quarter GDP Bounce-Back May Not Be Bullish!,real
1206,"This Week's Reviews: Samsung Galaxy S5, Sony Xperia Z2 and more...",real
1207,Researchers Find Why Girls Babies Have Better Chances of Survival,real
1208,Taco Bell continues to bash McDonald's in a new spot,real
1209,Aereo at the Supreme Court: a guide to the biggest TV case in 30 years (and  ...,real
1210,Treasurys advance ahead of $107 billion in debt sales,real
1211,Elon Musk acts to promote open-source electric-car development,real
1212,Beyonce Just Made VMA History In This Bejeweled Bodysuit,real
1213,"Coachella 2014: Second weekend brings somber news, but weather doesn't  ...",real
1214,Juan Pablo: You Were Right Not To Propose On 'The Bachelor',real
1215,"Jennifer Lopez Says ""F"" Word on American Idol, Set to Receive GLAAD Award",real
1216,Goodbye 'Dickie' Attenborough,real
1217,36 sent to hospitals with 'medical issues' at Swedish DJ's Boston dance music  ...,real
1218,Stocks close higher as service sector improves,real
1219,"""Cinematic Marvel: Director's Epic Masterpiece Takes the Film World by Storm""",fake
1220,EMA's CHMP gives positive opinion for PTC Therapeutics' Translarna,real
1221,Target faces identity crisis (w/video),real
1222,How strong is that summer cocktail? Health agency's online calculator will tell you,real
1223,"""Teva Pharmaceuticals Receives Consensus Recommendation of 'Hold'""",fake
1224,"Midday Update: Stocks Buoyed by Payroll Data, Yellen, But Start Treading Water  ...",real
1225,"""Bare Shelves and Out-of-Stock Items Frustrate Target's Canadian Customers""",fake
1226,NSA knew about and used Heartbleed web exploit,real
1227,"Star Wars: Gareth Edwards, British director of Godzilla, to direct 2016 Star Wars  ...",real
1228,"""Historical Treasure: Ancient Artifacts Shed Light on Enigmatic Civilization""",fake
1229,"BlackBerry signs deal with Amazon, to offer 240000 Android apps",real
1230,'Breaking Bad' scores again at Emmy Awards,real
1231,Progress made on a 'bionic pancreas',real
1232,"""Economist Piketty Advocates Restricting Market and Private Property""",fake
1233,'Captain America'tops North American box office for second weekend,real
1234,Georgia grand jury indicts Allman film producers in Sarah Jones' death,real
1235,Late interest in FCC 'net neutrality' extends deadline.,real
1236,Google And Apple Fight For Your Heart As Healthcare Defines The Latest  ...,real
1237,Best Gourmet Ice Cream Trucks Around the Country,real
1238,Transformers Producers Facing Product Placement Dispute,real
1239,"""Apple Declares iPhone as the 'Only Phone' You'll Ever Need""",fake
1240,"'X-Men' director accused of drugging, raping teen",real
1241,"People: Donald Sterling, Brad Pitt and Brad Paisley",real
1242,"With Halle Berry in its orbit, 'Extant' has potential",real
1243,Potato salad Kickstarter at $36000 and counting,real
1244,"Current Mortgage Rates at Wells Fargo, US Bankcorp Mar 21",real
1245,AT&T Expanding Its Gigabit Broadband,real
1246,IRS awards bonuses to 1100 who owe back taxes - WSFA.com: News Weather  ...,real
1247,"""US Jobless Claims Fall Marginally""",fake
1248,"""NYC Police to Carry Heroin Overdose Antidote""",fake
1249,FBI says BlackShades malware infected half million computers,real
1250,Alibaba Unveils Plans to Launch IPO in US,real
1251,Tesla gives away its patents to advance electric vehicle industry,real
1252,VIDEO: Lady Gaga And 'Real Housewives' Pup Prepare For Her Newest Music  ...,real
1253,"""Marine Paradise: Pristine Coral Reefs Teem with Exotic Underwater Species""",fake
1254,"'How I Met Your Mother' Season 9, Series Finale: Ted Mosby's Reason, Death  ...",real
1255,Lenovo expects the deals with Google and IBM to be completed by 2014,real
1256,Bangladesh factory tragedy boosts 'Made in NYC' campaign,real
1257,Surface Pro 3: Find out what critics are saying about Microsoft's tablet-laptop,real
1258,Record-Breaking Heatwave Sweeps Across Europe,fake
1259,"Indy's Josh Kaufman loses battle, stays alive on The Voice",real
1260,New Alzheimer's study shows promise,real
1261,Valerie Harper: 'I Am Not Absolutely Cancer-Free',real
1262,Tesla loses $50 million in first quarter,real
1263,"""Intel Shares Surge After Raising Forecasts""",fake
1264,"""Sony Set to Launch PlayStation in Expanding Chinese Market""",fake
1265,Zara Just Made a Huge Mistake With This Holocaust Shirt for Kids,real
1266,"Watch 'The Bachelor' Season 18 Finale, Live Stream Online! Will Juan Pablo  ...",real
1267,Apple is Close to Buying Beats Audio for $3.2 Billion,real
1268,Airbus files patent for bicycle-style airline seats,real
1269,"""Samsung Executive Predicts Galaxy S5 Will Outsell S4""",fake
1270,Anita Baker wanted by Detroit police?,real
1271,Amazon Prime Folks Can Watch HBO Shows Starting Today,real
1272,Election 2016: Marco Rubio Says He's Ready to Be President,real
1273,SolarCity Shares Soak Up Sun With Silevo Acquisition,real
1274,"Mommy Monday: When Smartphone Is Near, Parenting May Falter",real
1275,Consumer Minute: American & Orbitz part ways and Chick-fil-A expands menu,real
1276,"Men's Wearhouse Finally Snags Rival, But Jos. A. Bank Is The Real Winner",real
1277,Hollywood Icon Clint Eastwood Returns to Directing,fake
1278,Feinberg lays out GM victim compensation plan,real
1279,"""Rolling Stones Resume World Tour""",fake
1280,"""'Cabin in the Woods' Director Drew Goddard to Helm 'Sinister Six'""",fake
1281,Google sees spending $30 bn buying foreign firms...,real
1282,Samsung Galaxy S4 gets an Android KitKat Update,real
1283,"Dwarf Planet Discovered in Our Solar System, Hints at Larger Planet",real
1284,Exclusive: Anita Baker Says She's Being “Terrorized”,real
1285,"Cool, very dim star thought to be hiding enormous diamond",real
1286,House approves temporary SGR fix,real
1287,Aereo at the Supreme Court: a guide to the biggest TV case in 30 years (and  ...,real
1288,The article requested cannot be found! Please refresh your browser or go back  ...,real
1289,Gwyneth Paltrow and Chris Martin took part in seperating ceremony whilst on  ...,real
1290,Icahn pushes eBay to sell 20% of Paypal via IPO,real
1291,Uber cuts fares by 20 per cent in New York in price war with taxis,real
1292,New York police to carry heroin antidote,real
1293,Are Annual Pelvic Examinations Beneficial for Women? The Science Says No,real
1294,ACA 'Play or Pay' Decision Guide for Employers (Infographic),real
1295,People Are Pissed At Stephen Colbert! See The Now Deleted Tweet That Some  ...,real
1296,"""Eastman Named 'World's Most Ethical' Chemical Company by Research Center""",fake
1297,The female bald eagle in the nest previously fought off a raccoon that tried to raid  ...,real
1298,$200 'Micro' 3D Printer Earns Big on Kickstarter,real
1299,FBI to probe high-frequency stock trading,real
1300,"""NTSB Proposes Regulations for Parasailing Safety""",fake
1301,Apple Patent for iOS Security Feature Lets Users Set Location-Based Level of  ...,real
1302,"""Entertainment Extravaganza: Star-Studded Gala Raises Funds for Charitable Causes""",fake
1303,Soft robotic fish swims “like real thing”,real
1304,"Angelina Jolie, who is promoting Maleficent in China, says she won't up red  ...",real
1305,Archaeologists Discover Ancient Mayan Treasure,fake
1306,Lewis reveals mother is HIV-positive,real
1307,Forex - USD/JPY near 1-month lows after tepid Japan data,real
1308,"Drought cuts wheat crop; Corn, soybeans good",real
1309,Director's creativity keeps 'Noah' from sinking,real
